135,1,住,zhu4,zhù,live
136,1,学习,xue2xi2,xuéxí,study
137,1,工作,gong1zuo4,gōngzuò,work
138,1,下雨,xia4yu3,xiàyǔ,rain
139,1,爱,ai4,ài,love
140,1,喜欢,xi3huan1,xǐhuān,"love, like"
141,1,想,xiang3,xiǎng,want
142,1,认识,ren4shi,rènshi,know
143,1,会,hui4,huì,can
144,1,能,neng2,néng,"can, be able to"
145,1,好,hao3,hǎo,good
146,1,大,da4,dà,big
147,1,小,xiao3,xiǎo,small
148,1,多,duo1,duō,"many, much"
149,1,少,shao3,shǎo,"few, little"
150,1,冷,leng3,lěng,cold
151,1,热,re4,rè,hot
152,1,高兴,gao1xing4,gāoxìng,happy
153,1,漂亮,piao4liang4,piàoliàng,beautiful
154,2,您,nin2,nín,you
155,2,它,ta1,tā,it
156,2,大家,da4jia1,dàjiā,everyone
157,2,每,mei3,měi,every
158,2,为什么,wei4shen2me,wèishénme,why
159,2,两,liang3,liǎng,two
160,2,百,bai3,bǎi,hundred
161,2,千,qian1,qiān,thousand
162,2,第一,di4yi1,dìyī,first
163,2,次,ci4,cì,number
164,2,公斤,gong1jin1,gōngjīn,kilogram
165,2,元,yuan2,yuán,yuan
166,2,件,jian4,jiàn,piece
167,2,张,zhang1,zhāng,sheet
168,2,别,bie2,bié,other
169,2,非常,fei1chang2,fēicháng,very
170,2,也,ye3,yě,likewise
171,2,还,hai2,hái,repay
172,2,最,zui4,zuì,most
173,2,真,zhen1,zhēn,real
174,2,正在,zheng4zai4,zhèngzài,be being
175,2,已经,yi3jing1,yǐjīng,already
176,2,一起,yi4qi3,yìqǐ,together
177,2,再,zai4,zài,again
178,2,就,jiv4,jiǜ,at once
179,2,因为,yin1wei4,yīnwèi,because
180,2,所以,suo3yi3,suǒyǐ,so
181,2,但是,dan4shi4,dànshì,but
182,2,从,cong2,cóng,from
183,2,对,dui4,duì,right
184,2,此,ci3,cǐ,this
185,2,向,xiang4,xiàng,towards
186,2,离,li2,lí,leave
187,2,得,de,de,
188,2,着,zhe,zhe,
189,2,过,guo,guo,
190,2,吧,ba,ba,
191,2,饭馆,fan4 guan3,fàn guǎn,restaunt
